169	38.09	41.40	37.08	34.19	43.99	46.08	39.28	30.22
170	38.17	41.95	37.32	34.22	44.26	46.66	39.37	30.27
171	38.28	42.49	37.57	34.27	44.55	47.22	39.49	30.32
172	38.41	43.02	37.84	34.33	44.86	47.74	39.65	30.36
173	38.57	43.53	38.11	34.40	45.18	48.23	39.84	30.41
174	38.73	44.02	38.39	34.48	45.51	48.69	40.05	30.46
175	38.92	44.49	38.67	34.57	45.85	49.12	40.28	30.51
176	39.11	44.95	38.95	34.67	46.20	49.53	40.53	30.55
177	39.31	45.38	39.23	34.78	46.54	49.92	40.80	30.60
178	39.52	45.79	39.50	34.89	46.88	50.29	41.08	30.64
179	39.73	46.18	39.77	35.01	47.23	50.65	41.36	30.68
180	39.95	46.56	40.03	35.13	47.57	50.99	41.66	30.73
181	40.17	46.92	40.28	35.26	47.91	51.32	41.95	30.77
182	40.38	47.27	40.52	35.39	48.24	51.65	42.25	30.82
183	40.61	47.58	40.76	35.53	48.58	51.89	42.55	30.86
184	40.83	47.76	40.96	35.66	48.89	51.90	42.85	30.91
185	41.06	47.77	41.11	35.80	49.15	51.72	43.13	30.96
186	41.26	47.64	41.19	35.93	49.34	51.39	43.38	31.00
187	41.45	47.39	41.21	36.06	49.45	50.98	43.61	31.05
188	41.60	47.08	41.19	36.19	49.50	50.54	43.78	31.10
189	41.73	46.72	41.13	36.30	49.49	50.10	43.91	31.16
190	41.83	46.34	41.04	36.40	49.43	49.67	43.99	31.20
191	41.89	45.95	40.93	36.48	49.34	49.25	44.03	31.27
192	41.93	45.57	40.79	36.56	49.22	48.86	44.03	31.32
193	41.95	45.20	40.66	36.62	49.07	48.49	44.00	31.38
194	41.95	44.85	40.52	36.67	48.92	48.16	43.93	31.44
195	41.94	44.51	40.38	36.71	48.74	47.84	43.85	31.50
196	41.91	44.20	40.24	36.74	48.56	47.55	43.74	31.57
197	41.87	43.90	40.10	36.77	48.38	47.27	43.62	31.62
198	41.82	43.62	39.96	36.78	48.18	47.02	43.48	31.69
199	41.77	43.36	39.83	36.79	47.99	46.77	43.33	31.75
200	41.70	43.11	39.70	36.79	47.79	46.55	43.17	31.82
201	41.64	42.89	39.57	36.79	47.60	46.33	43.00	31.88
202	41.57	42.67	39.46	36.79	47.41	46.12	42.83	31.94
203	41.50	42.53	39.35	36.78	47.22	46.08	42.66	32.00
204	41.43	42.56	39.29	36.77	47.05	46.35	42.50	32.05
205	41.36	42.77	39.29	36.75	46.96	46.82	42.36	32.11
206	41.31	43.10	39.35	36.75	46.96	47.41	42.25	32.17
207	41.29	43.54	39.46	36.75	47.05	48.04	42.19	32.23
208	41.29	44.04	39.63	36.75	47.20	48.66	42.18	32.28
209	41.32	44.56	39.82	36.75	47.40	49.27	42.20	32.33
210	41.39	45.09	40.05	36.78	47.64	49.85	42.27	32.39
211	41.48	45.62	40.30	36.82	47.91	50.40	42.38	32.43
212	41.60	46.13	40.55	36.87	48.20	50.90	42.53	32.48
213	41.74	46.62	40.82	36.93	48.50	51.38	42.70	32.52
214	41.89	47.11	41.09	37.01	48.82	51.82	42.89	32.57
215	42.05	47.56	41.36	37.09	49.14	52.24	43.11	32.61
